Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:118, train_loss:1.01906, train_acc:0.46641, val_loss=1.23653, val_acc=0.55093
T:119, train_loss:0.99960, train_acc:0.49547, val_loss=1.09949, val_acc=0.53858
T:120, train_loss:0.99654, train_acc:0.50216, val_loss=1.21212, val_acc=0.55093
T:121, train_loss:0.98807, train_acc:0.50101, val_loss=1.38341, val_acc=0.52932
T:122, train_loss:0.99198, train_acc:0.49617, val_loss=1.15979, val_acc=0.55556
T:123, train_loss:0.98831, train_acc:0.50378, val_loss=1.27086, val_acc=0.53549
T:124, train_loss:0.98670, train_acc:0.49651, val_loss=1.24433, val_acc=0.53086
T:125, train_loss:0.97863, train_acc:0.50718, val_loss=1.56245, val_acc=0.54475
T:126, train_loss:0.98969, train_acc:0.49703, val_loss=1.45474, val_acc=0.54012
T:127, train_loss:0.97967, train_acc:0.50989, val_loss=1.36087, val_acc=0.51543
T:128, train_loss:0.97539, train_acc:0.51496, val_loss=1.15683, val_acc=0.55556
T:129, train_loss:0.97374, train_acc:0.50118, val_loss=1.39420, val_acc=0.52778
T:130, train_loss:0.97156, train_acc:0.49864, val_loss=1.67802, val_acc=0.55710
T:131, train_loss:0.97683, train_acc:0.50862, val_loss=1.13941, val_acc=0.56944
T:132, train_loss:1.00673, train_acc:0.48371, val_loss=1.11872, val_acc=0.50309
T:133, train_loss:0.99139, train_acc:0.49593, val_loss=1.01859, val_acc=0.57716
T:134, train_loss:0.98615, train_acc:0.50176, val_loss=1.04155, val_acc=0.57253
T:135, train_loss:0.98399, train_acc:0.51029, val_loss=1.09011, val_acc=0.57253
T:136, train_loss:0.96773, train_acc:0.52021, val_loss=1.28309, val_acc=0.53704
T:137, train_loss:0.95640, train_acc:0.53261, val_loss=1.37244, val_acc=0.53395
T:138, train_loss:0.94345, train_acc:0.53993, val_loss=1.18119, val_acc=0.55710
T:139, train_loss:0.94294, train_acc:0.53612, val_loss=1.29640, val_acc=0.53858
T:140, train_loss:0.95306, train_acc:0.53030, val_loss=1.31215, val_acc=0.54321
T:141, train_loss:0.93678, train_acc:0.53774, val_loss=1.23130, val_acc=0.52932
T:142, train_loss:0.94187, train_acc:0.52598, val_loss=1.55713, val_acc=0.54475
T:143, train_loss:0.93348, train_acc:0.53053, val_loss=1.47170, val_acc=0.53395
T:144, train_loss:0.93779, train_acc:0.52269, val_loss=1.72435, val_acc=0.53858
T:145, train_loss:0.96664, train_acc:0.51352, val_loss=1.58089, val_acc=0.53858
T:146, train_loss:0.94199, train_acc:0.52949, val_loss=1.11113, val_acc=0.53395
T:147, train_loss:0.94708, train_acc:0.53607, val_loss=1.32663, val_acc=0.53086
T:148, train_loss:0.93719, train_acc:0.53491, val_loss=1.58573, val_acc=0.52932
T:149, train_loss:0.92902, train_acc:0.54235, val_loss=1.88526, val_acc=0.53858
T:150, train_loss:0.92119, train_acc:0.54818, val_loss=1.84503, val_acc=0.53241
T:151, train_loss:0.91583, train_acc:0.55106, val_loss=1.88931, val_acc=0.52315
T:152, train_loss:0.91221, train_acc:0.55423, val_loss=1.57830, val_acc=0.50926
T:153, train_loss:0.92051, train_acc:0.54973, val_loss=1.62205, val_acc=0.53241
T:154, train_loss:0.92360, train_acc:0.54483, val_loss=1.66667, val_acc=0.53395
T:155, train_loss:0.92382, train_acc:0.54172, val_loss=2.27149, val_acc=0.51698
T:156, train_loss:0.92213, train_acc:0.54166, val_loss=2.49643, val_acc=0.51852
T:157, train_loss:0.94585, train_acc:0.53930, val_loss=1.60491, val_acc=0.51852
T:158, train_loss:0.96212, train_acc:0.51133, val_loss=3.33109, val_acc=0.51080
T:159, train_loss:0.93968, train_acc:0.53203, val_loss=1.54548, val_acc=0.48920
T:160, train_loss:0.93602, train_acc:0.53976, val_loss=1.58432, val_acc=0.49537
T:161, train_loss:0.93376, train_acc:0.54794, val_loss=2.42635, val_acc=0.48457
T:162, train_loss:0.92951, train_acc:0.55169, val_loss=2.78967, val_acc=0.50309
T:163, train_loss:0.93305, train_acc:0.55383, val_loss=2.74892, val_acc=0.48302
T:164, train_loss:0.96128, train_acc:0.54771, val_loss=2.97560, val_acc=0.49228
T:165, train_loss:0.99585, train_acc:0.52264, val_loss=1.21820, val_acc=0.45679
T:166, train_loss:0.95008, train_acc:0.55341, val_loss=1.31143, val_acc=0.48611
T:167, train_loss:0.94199, train_acc:0.55883, val_loss=2.48009, val_acc=0.48611
T:168, train_loss:0.94218, train_acc:0.56278, val_loss=2.48548, val_acc=0.48765
T:169, train_loss:0.94058, train_acc:0.56685, val_loss=2.27898, val_acc=0.48457
T:170, train_loss:0.93552, train_acc:0.56402, val_loss=1.59053, val_acc=0.48148
T:171, train_loss:0.93584, train_acc:0.55962, val_loss=3.06106, val_acc=0.48611
T:172, train_loss:0.96197, train_acc:0.55556, val_loss=3.06635, val_acc=0.48611
T:173, train_loss:0.95811, train_acc:0.54697, val_loss=1.28426, val_acc=0.50463
T:174, train_loss:0.95567, train_acc:0.54686, val_loss=1.94142, val_acc=0.50463
T:175, train_loss:0.95444, train_acc:0.54505, val_loss=1.62099, val_acc=0.52006
T:176, train_loss:0.96722, train_acc:0.54330, val_loss=1.34641, val_acc=0.48457
T:177, train_loss:0.96734, train_acc:0.54968, val_loss=1.50240, val_acc=0.50772
T:178, train_loss:0.96580, train_acc:0.55166, val_loss=1.47137, val_acc=0.50309
T:179, train_loss:0.96070, train_acc:0.55589, val_loss=1.26290, val_acc=0.50617
T:180, train_loss:0.96813, train_acc:0.54415, val_loss=1.36368, val_acc=0.49383
T:181, train_loss:0.97040, train_acc:0.53986, val_loss=1.25633, val_acc=0.50926
T:182, train_loss:0.96517, train_acc:0.54246, val_loss=1.51707, val_acc=0.48765
T:183, train_loss:0.96412, train_acc:0.54167, val_loss=1.44257, val_acc=0.49537
T:184, train_loss:0.95399, train_acc:0.55369, val_loss=1.56001, val_acc=0.49383
T:185, train_loss:0.95916, train_acc:0.55228, val_loss=2.15082, val_acc=0.48457
T:186, train_loss:0.95676, train_acc:0.55076, val_loss=2.35401, val_acc=0.48611
T:187, train_loss:0.95131, train_acc:0.55126, val_loss=2.46751, val_acc=0.47068
T:188, train_loss:0.95530, train_acc:0.54980, val_loss=2.03746, val_acc=0.49691
T:189, train_loss:0.97955, train_acc:0.54195, val_loss=1.64248, val_acc=0.50000
T:190, train_loss:1.00297, train_acc:0.52304, val_loss=1.34969, val_acc=0.49074
T:191, train_loss:1.01780, train_acc:0.49864, val_loss=1.13642, val_acc=0.43827
T:192, train_loss:0.99998, train_acc:0.52224, val_loss=1.26503, val_acc=0.49383
T:193, train_loss:0.98154, train_acc:0.53365, val_loss=1.56643, val_acc=0.48302
T:194, train_loss:0.98135, train_acc:0.52958, val_loss=1.45493, val_acc=0.48765
T:195, train_loss:0.99134, train_acc:0.52140, val_loss=1.30928, val_acc=0.48457
T:196, train_loss:0.98401, train_acc:0.52191, val_loss=1.05480, val_acc=0.49228
T:197, train_loss:0.98453, train_acc:0.51891, val_loss=1.30982, val_acc=0.49537
T:198, train_loss:0.97794, train_acc:0.52936, val_loss=1.20462, val_acc=0.50000
T:199, train_loss:0.96155, train_acc:0.53794, val_loss=1.36952, val_acc=0.49846
T:200, train_loss:0.97247, train_acc:0.53512, val_loss=1.40771, val_acc=0.49846
T:201, train_loss:0.97004, train_acc:0.53862, val_loss=1.43710, val_acc=0.50463
T:202, train_loss:0.97178, train_acc:0.52953, val_loss=1.64222, val_acc=0.50617
T:203, train_loss:0.98717, train_acc:0.50694, val_loss=1.87440, val_acc=0.45833
T:204, train_loss:0.97594, train_acc:0.51479, val_loss=1.82017, val_acc=0.50000
T:205, train_loss:0.96598, train_acc:0.53015, val_loss=1.62348, val_acc=0.47685
T:206, train_loss:0.98508, train_acc:0.50531, val_loss=1.74401, val_acc=0.48302
T:207, train_loss:0.98212, train_acc:0.50937, val_loss=1.55532, val_acc=0.49074
T:208, train_loss:0.98351, train_acc:0.50830, val_loss=1.43291, val_acc=0.47531
T:209, train_loss:0.99876, train_acc:0.48752, val_loss=1.18479, val_acc=0.51080
T:210, train_loss:0.99871, train_acc:0.49582, val_loss=1.29004, val_acc=0.51698
T:211, train_loss:1.01151, train_acc:0.48972, val_loss=1.42573, val_acc=0.48765
T:212, train_loss:1.00782, train_acc:0.49605, val_loss=1.37426, val_acc=0.43981
T:213, train_loss:1.01981, train_acc:0.49848, val_loss=1.21412, val_acc=0.48302
T:214, train_loss:1.01125, train_acc:0.49729, val_loss=1.02195, val_acc=0.51852
T:215, train_loss:0.99898, train_acc:0.51107, val_loss=1.01539, val_acc=0.51235
T:216, train_loss:1.00248, train_acc:0.50903, val_loss=1.02743, val_acc=0.51698
T:217, train_loss:1.01087, train_acc:0.49684, val_loss=1.06237, val_acc=0.51235
T:218, train_loss:1.00802, train_acc:0.49955, val_loss=1.05077, val_acc=0.50309
T:219, train_loss:1.01573, train_acc:0.49447, val_loss=1.03309, val_acc=0.50309
T:220, train_loss:1.01609, train_acc:0.49695, val_loss=1.04023, val_acc=0.49074
T:221, train_loss:1.01126, train_acc:0.50011, val_loss=1.05865, val_acc=0.47531
T:222, train_loss:1.00228, train_acc:0.50655, val_loss=1.01408, val_acc=0.53086
T:223, train_loss:1.00429, train_acc:0.49848, val_loss=1.01256, val_acc=0.53241
T:224, train_loss:1.02228, train_acc:0.48374, val_loss=1.00432, val_acc=0.54167
T:225, train_loss:1.01385, train_acc:0.49159, val_loss=1.00363, val_acc=0.53858
T:226, train_loss:1.01967, train_acc:0.48814, val_loss=1.00514, val_acc=0.54012
T:227, train_loss:1.03899, train_acc:0.47967, val_loss=1.00297, val_acc=0.53858
T:228, train_loss:1.03912, train_acc:0.47488, val_loss=0.98397, val_acc=0.55710
T:229, train_loss:1.05055, train_acc:0.46483, val_loss=1.02602, val_acc=0.54012
T:230, train_loss:1.04665, train_acc:0.47092, val_loss=1.00713, val_acc=0.53549
T:231, train_loss:1.03743, train_acc:0.47222, val_loss=1.02835, val_acc=0.54012
T:232, train_loss:1.02472, train_acc:0.49684, val_loss=1.03766, val_acc=0.55247
T:233, train_loss:1.03406, train_acc:0.48182, val_loss=1.02146, val_acc=0.51543
T:234, train_loss:1.03728, train_acc:0.47770, val_loss=0.97529, val_acc=0.54784
T:235, train_loss:1.03564, train_acc:0.48826, val_loss=1.00729, val_acc=0.54167
T:236, train_loss:1.04380, train_acc:0.47759, val_loss=0.98129, val_acc=0.54938
T:237, train_loss:1.03512, train_acc:0.48018, val_loss=0.97848, val_acc=0.54475
T:238, train_loss:1.02847, train_acc:0.48498, val_loss=0.99306, val_acc=0.55093
T:239, train_loss:1.02872, train_acc:0.48261, val_loss=1.04311, val_acc=0.53704
T:240, train_loss:1.03641, train_acc:0.47821, val_loss=0.99974, val_acc=0.55093
T:241, train_loss:1.02606, train_acc:0.47651, val_loss=1.01178, val_acc=0.54012
T:242, train_loss:1.03157, train_acc:0.46556, val_loss=1.00537, val_acc=0.53549
T:243, train_loss:1.03124, train_acc:0.45805, val_loss=0.97832, val_acc=0.54784
T:244, train_loss:1.04303, train_acc:0.45574, val_loss=1.04422, val_acc=0.45370
T:245, train_loss:1.08002, train_acc:0.38838, val_loss=1.04893, val_acc=0.51389
T:246, train_loss:1.07787, train_acc:0.40148, val_loss=1.13011, val_acc=0.37191
T:247, train_loss:1.05289, train_acc:0.43383, val_loss=1.05883, val_acc=0.47222
T:248, train_loss:1.03946, train_acc:0.45982, val_loss=1.06192, val_acc=0.52315
T:249, train_loss:1.03409, train_acc:0.47154, val_loss=1.01882, val_acc=0.50617
T:250, train_loss:1.03851, train_acc:0.46850, val_loss=1.00504, val_acc=0.54012
T:251, train_loss:1.04291, train_acc:0.45761, val_loss=1.04705, val_acc=0.47994
T:252, train_loss:1.04128, train_acc:0.44688, val_loss=1.04451, val_acc=0.45679
T:253, train_loss:1.04585, train_acc:0.44843, val_loss=1.08936, val_acc=0.49846
T:254, train_loss:1.05099, train_acc:0.44373, val_loss=1.02065, val_acc=0.47994
T:255, train_loss:1.03196, train_acc:0.45097, val_loss=1.00238, val_acc=0.52315
T:256, train_loss:1.03703, train_acc:0.46386, val_loss=1.03908, val_acc=0.48920
T:257, train_loss:1.04115, train_acc:0.45385, val_loss=1.02201, val_acc=0.54475
T:258, train_loss:1.02776, train_acc:0.46878, val_loss=1.04709, val_acc=0.50154
T:259, train_loss:1.03589, train_acc:0.45739, val_loss=1.03774, val_acc=0.49846
