T:96, train_loss:1.03452, train_acc:0.44509, val_loss=1.31795, val_acc=0.46296
T:97, train_loss:1.03766, train_acc:0.45216, val_loss=1.09331, val_acc=0.41049
T:98, train_loss:1.02804, train_acc:0.46141, val_loss=1.23669, val_acc=0.52160
T:99, train_loss:1.03920, train_acc:0.43637, val_loss=1.16586, val_acc=0.53086
T:100, train_loss:1.03184, train_acc:0.44686, val_loss=1.82399, val_acc=0.51698
T:101, train_loss:1.03348, train_acc:0.45004, val_loss=1.81092, val_acc=0.51543
T:102, train_loss:1.01929, train_acc:0.46424, val_loss=1.91335, val_acc=0.52623
T:103, train_loss:1.00719, train_acc:0.48021, val_loss=2.03219, val_acc=0.50309
T:104, train_loss:1.02765, train_acc:0.48604, val_loss=1.66558, val_acc=0.52315
T:105, train_loss:1.02207, train_acc:0.47231, val_loss=1.43272, val_acc=0.51852
T:106, train_loss:1.01238, train_acc:0.48739, val_loss=1.78689, val_acc=0.46451
T:107, train_loss:1.02760, train_acc:0.46554, val_loss=1.98758, val_acc=0.52469
T:108, train_loss:1.02315, train_acc:0.49193, val_loss=1.52051, val_acc=0.51080
T:109, train_loss:1.01921, train_acc:0.48957, val_loss=1.50976, val_acc=0.52778
T:110, train_loss:1.02763, train_acc:0.47881, val_loss=1.75295, val_acc=0.53086
T:111, train_loss:1.03357, train_acc:0.47056, val_loss=1.21395, val_acc=0.50000
T:112, train_loss:1.02966, train_acc:0.47973, val_loss=1.84635, val_acc=0.54938
T:113, train_loss:1.02358, train_acc:0.48567, val_loss=2.25517, val_acc=0.53858
T:114, train_loss:1.01234, train_acc:0.49599, val_loss=2.14090, val_acc=0.53241
T:115, train_loss:1.01184, train_acc:0.49916, val_loss=1.86743, val_acc=0.53395
T:116, train_loss:1.00669, train_acc:0.49893, val_loss=1.95468, val_acc=0.51235
T:117, train_loss:1.00823, train_acc:0.50245, val_loss=1.85232, val_acc=0.53704
T:118, train_loss:1.00562, train_acc:0.50251, val_loss=2.43820, val_acc=0.54167
T:119, train_loss:1.00910, train_acc:0.49472, val_loss=2.10237, val_acc=0.52623
T:120, train_loss:1.01268, train_acc:0.48377, val_loss=1.92726, val_acc=0.47994
T:121, train_loss:1.00530, train_acc:0.49138, val_loss=2.11010, val_acc=0.54012
T:122, train_loss:0.99810, train_acc:0.50089, val_loss=1.48715, val_acc=0.52778
T:123, train_loss:0.99682, train_acc:0.49986, val_loss=3.33439, val_acc=0.52932
T:124, train_loss:0.99723, train_acc:0.49939, val_loss=2.99954, val_acc=0.52160
