Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:103, train_loss:0.89031, train_acc:0.55803, val_loss=1.31641, val_acc=0.44290
T:104, train_loss:0.90036, train_acc:0.55785, val_loss=1.47794, val_acc=0.42593
T:105, train_loss:0.88381, train_acc:0.56958, val_loss=1.50452, val_acc=0.46451
T:106, train_loss:0.88595, train_acc:0.57170, val_loss=1.44888, val_acc=0.43981
T:107, train_loss:0.93014, train_acc:0.55226, val_loss=1.48115, val_acc=0.42747
T:108, train_loss:0.92810, train_acc:0.55679, val_loss=1.44025, val_acc=0.42747
T:109, train_loss:0.93659, train_acc:0.55349, val_loss=1.33309, val_acc=0.44444
T:110, train_loss:0.91498, train_acc:0.55965, val_loss=1.36657, val_acc=0.43981
T:111, train_loss:0.90949, train_acc:0.55780, val_loss=1.30718, val_acc=0.42901
T:112, train_loss:0.90520, train_acc:0.56380, val_loss=1.39239, val_acc=0.42901
T:113, train_loss:0.88611, train_acc:0.56518, val_loss=1.33863, val_acc=0.43364
T:114, train_loss:0.89340, train_acc:0.55948, val_loss=1.35986, val_acc=0.44290
T:115, train_loss:0.88487, train_acc:0.55919, val_loss=1.27952, val_acc=0.43827
T:116, train_loss:0.87722, train_acc:0.57568, val_loss=1.39538, val_acc=0.44290
T:117, train_loss:0.88809, train_acc:0.57885, val_loss=1.41842, val_acc=0.44136
T:118, train_loss:0.88720, train_acc:0.57060, val_loss=1.43282, val_acc=0.41821
T:119, train_loss:0.91253, train_acc:0.57545, val_loss=1.37156, val_acc=0.41821
T:120, train_loss:0.90346, train_acc:0.59084, val_loss=1.39519, val_acc=0.44907
T:121, train_loss:0.91434, train_acc:0.57856, val_loss=1.28313, val_acc=0.43519
T:122, train_loss:0.89143, train_acc:0.59027, val_loss=1.32909, val_acc=0.43673
T:123, train_loss:0.89272, train_acc:0.60024, val_loss=1.43138, val_acc=0.43827
T:124, train_loss:0.88394, train_acc:0.60480, val_loss=1.52054, val_acc=0.43673
T:125, train_loss:0.89555, train_acc:0.58842, val_loss=1.43794, val_acc=0.43981
T:126, train_loss:0.90059, train_acc:0.59032, val_loss=1.50919, val_acc=0.43364
T:127, train_loss:0.91417, train_acc:0.58254, val_loss=1.64172, val_acc=0.45062
T:128, train_loss:0.89095, train_acc:0.60364, val_loss=1.46267, val_acc=0.45370
T:129, train_loss:0.88748, train_acc:0.59730, val_loss=1.48321, val_acc=0.45988
T:130, train_loss:0.89407, train_acc:0.59984, val_loss=1.50687, val_acc=0.45679
T:131, train_loss:0.89578, train_acc:0.58981, val_loss=1.56231, val_acc=0.44753
T:132, train_loss:0.94260, train_acc:0.57931, val_loss=1.41067, val_acc=0.43981
T:133, train_loss:0.94965, train_acc:0.57268, val_loss=1.44948, val_acc=0.44444
T:134, train_loss:0.95983, train_acc:0.57464, val_loss=1.38732, val_acc=0.46142
T:135, train_loss:0.93233, train_acc:0.57262, val_loss=1.26451, val_acc=0.45833
T:136, train_loss:0.92038, train_acc:0.56888, val_loss=1.29333, val_acc=0.46451
T:137, train_loss:0.91522, train_acc:0.56478, val_loss=1.29409, val_acc=0.47377
T:138, train_loss:0.90400, train_acc:0.57418, val_loss=1.27014, val_acc=0.46296
T:139, train_loss:0.89479, train_acc:0.57712, val_loss=1.26351, val_acc=0.47068
T:140, train_loss:0.88314, train_acc:0.57724, val_loss=1.28867, val_acc=0.45833
T:141, train_loss:0.88114, train_acc:0.58542, val_loss=1.29827, val_acc=0.47377
T:142, train_loss:0.89342, train_acc:0.58277, val_loss=1.34126, val_acc=0.46451
T:143, train_loss:0.89741, train_acc:0.58514, val_loss=1.38749, val_acc=0.45833
T:144, train_loss:0.90295, train_acc:0.58133, val_loss=1.19577, val_acc=0.46759
T:145, train_loss:0.93316, train_acc:0.57724, val_loss=1.36531, val_acc=0.46759
T:146, train_loss:0.93225, train_acc:0.57660, val_loss=1.28204, val_acc=0.46914
