Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,21/11/10,0:00:00,Stuttgart,FC Koln,0,1,A,0,0,D,asd,20,18,5,8,16,15,10,9,4,3,0,0
D1,26/11/10,0:00:00,Mainz,Nurnberg,3,0,H,1,0,H,asd,10,13,4,3,17,15,1,4,4,2,0,0
D1,27/11/10,0:00:00,Bayern Munich,Ein Frankfurt,4,1,H,1,1,D,asd,25,8,8,4,11,11,15,7,1,0,0,0
D1,27/11/10,0:00:00,Dortmund,M'gladbach,4,1,H,1,1,D,asd,22,8,8,4,15,13,7,1,1,1,0,0
D1,27/11/10,0:00:00,Hamburg,Stuttgart,4,2,H,3,1,H,asd,15,14,8,3,9,16,6,7,2,3,0,1
D1,27/11/10,0:00:00,Hannover,Freiburg,3,0,H,1,0,H,asd,12,13,8,2,18,15,7,4,0,1,0,0
D1,27/11/10,0:00:00,Hoffenheim,Leverkusen,2,2,D,1,2,A,asd,15,7,6,2,18,19,5,2,1,3,0,0
D1,27/11/10,0:00:00,Kaiserslautern,Schalke 04,5,0,H,2,0,H,asd,15,6,8,3,19,16,8,2,3,2,0,0
D1,28/11/10,0:00:00,FC Koln,Wolfsburg,1,1,D,0,0,D,asd,13,11,3,1,10,16,3,2,2,2,0,0
D1,28/11/10,0:00:00,Werder Bremen,St Pauli,3,0,H,2,0,H,asd,14,16,8,4,14,16,5,10,2,0,1,1
D1,3/12/2010,0:00:00,St Pauli,Kaiserslautern,1,0,H,0,0,D,asd,16,12,6,4,11,15,2,3,1,3,0,0
D1,4/12/2010,0:00:00,Ein Frankfurt,Mainz,2,1,H,1,1,D,asd,15,10,4,2,21,27,2,5,0,2,0,0
D1,4/12/2010,0:00:00,Freiburg,Hamburg,1,0,H,1,0,H,asd,10,12,4,6,16,15,8,4,1,0,0,0
D1,4/12/2010,0:00:00,M'gladbach,Hannover,1,2,A,1,0,H,asd,15,12,3,4,11,17,1,3,2,1,1,0
D1,4/12/2010,0:00:00,Schalke 04,Bayern Munich,2,0,H,0,0,D,asd,12,17,4,5,13,7,4,9,0,1,0,0
D1,4/12/2010,0:00:00,Stuttgart,Hoffenheim,1,1,D,1,1,D,asd,19,11,5,7,18,19,4,2,3,2,0,1
D1,4/12/2010,0:00:00,Wolfsburg,Werder Bremen,0,0,D,0,0,D,asd,11,15,4,7,19,16,2,7,3,1,0,0
D1,5/12/2010,0:00:00,Leverkusen,FC Koln,3,2,H,1,1,D,asd,11,14,5,5,9,19,5,0,1,1,0,0
D1,5/12/2010,0:00:00,Nurnberg,Dortmund,0,2,A,0,1,A,asd,7,16,1,7,13,17,3,6,2,2,0,0
D1,10/12/2010,0:00:00,Hannover,Stuttgart,2,1,H,1,0,H,asd,16,22,8,3,15,18,5,3,2,3,0,0
D1,11/12/2010,0:00:00,Bayern Munich,St Pauli,3,0,H,1,0,H,asd,22,9,10,1,13,21,13,4,0,1,0,1
D1,11/12/2010,0:00:00,Dortmund,Werder Bremen,2,0,H,1,0,H,asd,11,8,5,2,20,22,3,5,2,5,0,0
D1,11/12/2010,0:00:00,FC Koln,Ein Frankfurt,1,0,H,0,0,D,asd,10,14,5,3,20,14,7,6,5,3,0,0
D1,11/12/2010,0:00:00,Hamburg,Leverkusen,2,4,A,0,1,A,asd,8,16,3,8,23,18,3,4,3,3,0,0
D1,11/12/2010,0:00:00,Hoffenheim,Nurnberg,1,1,D,0,0,D,asd,19,11,4,4,18,23,11,5,1,3,0,0
D1,11/12/2010,0:00:00,Kaiserslautern,Wolfsburg,0,0,D,0,0,D,asd,18,5,2,0,15,16,5,0,1,3,0,0
D1,12/12/2010,0:00:00,Freiburg,M'gladbach,3,0,H,2,0,H,asd,22,14,8,6,14,14,7,2,1,2,0,0
D1,12/12/2010,0:00:00,Mainz,Schalke 04,0,1,A,0,1,A,asd,7,10,4,2,11,20,1,10,3,2,0,0
D1,17/12/10,0:00:00,M'gladbach,Hamburg,1,2,A,0,0,D,asd,18,15,8,9,12,11,5,8,1,0,0,0
D1,18/12/10,0:00:00,Ein Frankfurt,Dortmund,1,0,H,0,0,D,asd,12,9,4,1,18,14,3,8,2,2,0,0
D1,18/12/10,0:00:00,Nurnberg,Hannover,3,1,H,2,0,H,asd,19,5,9,1,24,23,6,3,1,4,0,0
D1,18/12/10,0:00:00,Schalke 04,FC Koln,3,0,H,1,0,H,asd,16,6,6,1,10,13,6,6,0,1,0,0
D1,18/12/10,0:00:00,St Pauli,Mainz,2,4,A,1,3,A,asd,14,20,6,7,21,18,11,8,2,1,0,0
D1,18/12/10,0:00:00,Werder Bremen,Kaiserslautern,1,2,A,1,1,D,asd,22,17,5,7,16,15,8,2,2,2,1,1
D1,18/12/10,0:00:00,Wolfsburg,Hoffenheim,2,2,D,0,2,A,asd,13,15,5,7,22,15,4,3,2,1,0,0
D1,19/12/10,0:00:00,Leverkusen,Freiburg,2,2,D,1,1,D,asd,14,8,6,4,17,15,3,1,3,1,0,0
D1,19/12/10,0:00:00,Stuttgart,Bayern Munich,3,5,A,0,3,A,asd,12,10,7,9,20,16,3,4,3,1,0,0
D1,14/01/11,0:00:00,Leverkusen,Dortmund,1,3,A,0,0,D,asd,12,11,3,5,11,18,6,7,2,1,0,0
D1,15/01/11,0:00:00,Nurnberg,M'gladbach,0,1,A,0,1,A,asd,17,6,4,3,16,29,6,3,1,3,0,0
D1,15/01/11,0:00:00,Schalke 04,Hamburg,0,1,A,0,0,D,asd,10,9,1,3,26,12,7,5,3,3,0,0
